timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689867.1203942,-0.0544,0.0029,-1.0144,0.5862,-0.14,-3.045,-0.1557,0.2369,0.5043
1752689867.1685524,-0.056,0.0034,-1.0113,0.21,-0.105,-3.2025,-0.1555,0.2362,0.5387
1752689867.223494,-0.0545,0.0043,-1.0161,0.1837,-0.0788,-2.9313,-0.1536,0.2394,0.5314
1752689867.271894,-0.0549,0.0032,-1.0112,0.1663,-0.0263,-3.08,-0.1572,0.2397,0.534
1752689867.3255382,-0.0513,0.0032,-1.0111,0.2625,-0.1225,-3.0013,-0.1589,0.2342,0.5377
1752689867.3740492,-0.0536,0.0037,-1.014,0.2713,0.0875,-3.1063,-0.1533,0.2391,0.5354
1752689867.427549,-0.053,0.0023,-1.0107,0.21,-0.1312,-2.9225,-0.1522,0.2408,0.5326
1752689867.4758637,-0.0558,0.0043,-1.0118,0.2625,-0.1312,-3.1588,-0.1569,0.2391,0.5369
1752689867.5296314,-0.0546,0.0052,-1.0131,0.2187,0.0088,-2.9488,-0.1562,0.2414,0.527
1752689867.578167,-0.0519,0.0014,-1.0114,0.1312,-0.1312,-3.0625,-0.159,0.2373,0.5355
1752689867.6329114,-0.0561,0.0026,-1.0127,0.455,-0.1663,-2.9488,-0.1554,0.2405,0.5317
1752689867.7609143,-0.0519,0.0033,-1.0114,0.035,-0.1225,-3.0538,-0.155,0.2395,0.5345
1752689867.7857203,-0.054,0.0045,-1.009,0.245,-0.245,-3.15,-0.1551,0.2407,0.5368
1752689867.8095171,-0.0519,0.0032,-1.0112,0.3588,-0.1225,-3.1325,-0.153,0.2366,0.5355
1752689867.8377118,-0.0528,0.0032,-1.0142,0.28,-0.2625,-3.0275,-0.1571,0.2338,0.5309
1752689867.886084,-0.053,0.0023,-1.0108,0.3325,-0.0263,-3.08,-0.1589,0.2391,0.5324
1752689867.9397593,-0.0543,0.0026,-1.0111,0.0263,-0.2187,-2.9838,-0.153,0.2386,0.5285
1752689867.9881322,-0.0576,0.0028,-1.0121,0.1312,0.07,-2.8525,-0.153,0.2409,0.5389
1752689868.04184,-0.052,0.0015,-1.0135,0.2713,-0.0963,-3.0625,-0.1586,0.2405,0.5361
1752689868.0901108,-0.055,0.0048,-1.0128,0.3938,-0.1575,-2.8525,-0.1553,0.2366,0.5384
1752689868.1439004,-0.0533,0.0028,-1.0156,0.3413,-0.1663,-2.9838,-0.156,0.24,0.5372
1752689868.1923575,-0.0556,0.002,-1.0103,0.49,-0.0788,-3.0363,-0.1523,0.2374,0.5384
1752689868.2460513,-0.0548,0.0029,-1.0102,0.14,-0.0088,-3.0713,-0.1516,0.24,0.5313
1752689868.2943652,-0.0509,0.0055,-1.0141,0.2362,0.1575,-3.0975,-0.1527,0.2412,0.5278
1752689868.349018,-0.0538,0.002,-1.0119,0.35,-0.0613,-3.0888,-0.1516,0.2366,0.5321
1752689868.3974602,-0.0536,0.0049,-1.0153,0.3588,-0.0088,-3.01,-0.1537,0.2436,0.5335
