timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689942.8796942,-0.0484,0.0547,-1.0156,-1.2425,-5.2413,-3.535,-0.1306,0.2057,0.5352
1752689942.9334896,-0.0915,0.0509,-1.0003,0.6125,6.2562,-1.855,-0.1281,0.2062,0.5348
1752689942.9817634,-0.0714,0.0603,-1.0017,-1.575,0.735,-5.4775,-0.1333,0.205,0.5331
1752689943.036506,-0.063,0.0671,-1.0252,-1.54,-0.5862,-3.57,-0.134,0.2047,0.5429
1752689943.0851946,-0.077,0.0705,-1.0244,-0.4987,5.3113,-1.5575,-0.1338,0.2075,0.5359
1752689943.1385481,-0.0716,0.047,-1.0463,0.595,1.6712,-2.625,-0.1385,0.2009,0.5314
1752689943.1867945,-0.0732,0.0523,-1.0009,1.5575,-5.81,-4.0425,-0.1295,0.2024,0.5312
1752689943.240593,-0.0626,0.0562,-0.998,0.7088,-0.49,-2.9925,-0.1313,0.2094,0.5338
1752689943.2887826,-0.0682,0.0559,-1.0213,0.9363,-0.1837,-2.4763,-0.1305,0.2052,0.541
1752689943.34264,-0.0637,0.0644,-0.986,0.6563,2.2488,-2.5638,-0.1309,0.2078,0.5396
1752689943.3909738,-0.053,0.0623,-1.0067,0.0088,0.9013,-3.1325,-0.1296,0.2044,0.5405
1752689943.4458463,-0.0432,0.065,-0.9726,0.2975,1.1812,-3.1588,-0.1296,0.2075,0.5386
1752689943.4941568,-0.0642,0.0578,-1.0436,-2.0213,2.4938,0.2275,-0.1301,0.2079,0.5314
1752689943.5478384,-0.1017,0.0594,-1.0177,-2.2138,2.3538,1.8812,-0.1299,0.2083,0.5317
1752689943.5960903,-0.1376,0.0409,-1.0436,-0.9275,13.4312,-1.575,-0.1308,0.2094,0.5335
1752689943.6498656,-0.1077,0.0527,-1.0135,1.7675,7.0175,-8.225,-0.1403,0.2086,0.531
1752689943.698312,-0.0479,0.0504,-0.9948,0.5513,3.4738,-8.96,-0.1401,0.2093,0.5271
1752689943.7519655,-0.0714,0.0569,-0.9446,-2.6425,-1.3825,-8.9075,-0.1488,0.2104,0.5251
1752689943.8001647,-0.0855,0.0487,-1.0235,-1.5662,7.4025,-4.5325,-0.1449,0.2122,0.5335
1752689943.8550022,-0.0823,0.0462,-1.0185,-1.995,5.5475,-4.7688,-0.1533,0.209,0.5328
1752689943.9031289,-0.1056,0.0431,-1.0231,-0.3325,-1.9075,-2.5288,-0.1512,0.2085,0.5299
1752689943.9570074,-0.1129,0.0268,-1.0064,0.3763,-1.1025,-5.4425,-0.1558,0.2103,0.5309
1752689944.0055084,-0.0935,0.0464,-0.9999,1.33,-0.8138,-3.0363,-0.1527,0.2103,0.5214
1752689944.0590882,-0.0848,0.0521,-1.0141,-0.455,-1.0412,-4.375,-0.1509,0.205,0.523
1752689944.1076035,-0.0814,0.057,-0.9948,2.3013,2.31,-4.375,-0.1498,0.2051,0.5215
1752689944.161099,-0.0566,0.0535,-0.9859,2.4237,3.1063,-0.28,-0.1485,0.2051,0.526
1752689944.2094955,-0.0901,0.0554,-0.9986,2.73,-4.3838,-1.1112,-0.1516,0.2059,0.527
1752689944.2661638,-0.0839,0.0647,-0.9801,5.0662,0.9538,0.6212,-0.1473,0.2043,0.5275
1752689944.3143582,-0.0841,0.0581,-0.9864,0.9363,-12.4775,-0.2013,-0.1415,0.2024,0.526
1752689944.3675652,-0.0877,0.0512,-1.0074,-0.2888,1.0675,1.2163,-0.1469,0.2045,0.5387
1752689944.4154274,-0.0836,0.0628,-1.0609,0.7175,-6.2913,-1.7413,-0.1425,0.2047,0.5326
1752689944.4682732,-0.0794,0.0617,-1.031,1.1112,-7.175,-0.595,-0.1373,0.2027,0.5323
1752689944.5168478,-0.0784,0.0673,-1.0689,2.8963,-3.6837,0.3063,-0.1373,0.1999,0.5419
1752689944.5703573,-0.07,0.0765,-1.0215,6.6413,-8.8375,-1.0237,-0.1298,0.1945,0.5386
1752689944.618605,-0.084,0.0868,-1.0374,7.3763,-5.2588,-1.1375,-0.126,0.195,0.538
1752689944.673405,-0.0638,0.0833,-0.9938,-0.9363,-5.3463,-2.3625,-0.1298,0.1959,0.5431
1752689944.7217982,-0.0393,0.0939,-1.0282,11.2087,-10.255,0.8138,-0.124,0.1901,0.5334
1752689944.7754166,-0.0551,0.1086,-0.9995,20.0725,-7.3238,1.855,-0.1212,0.1844,0.5375
1752689944.824161,-0.0607,0.1482,-0.9908,22.5575,6.5625,8.1375,-0.1141,0.18,0.5569
1752689944.877484,-0.0417,0.1297,-0.9924,16.31,-1.855,6.7375,-0.1205,0.1708,0.5491
1752689944.9261737,-0.0551,0.1936,-1.0229,62.6675,-17.6138,23.3187,-0.1089,0.1603,0.5585
1752689944.9805195,-0.0076,0.2061,-0.9601,26.32,-15.2425,0.5163,-0.0903,0.1324,0.5712
1752689945.0292437,0.0016,0.3115,-1.0607,83.02,-40.1275,9.1,-0.0855,0.1081,0.5793
1752689945.0826137,0.0359,0.323,-0.9408,116.4625,-35.56,7.3675,-0.0725,0.0648,0.5855
1752689945.1307445,0.0879,0.4513,-0.9557,110.5213,-7.9538,-4.97,-0.0619,0.0108,0.5894
1752689945.1846302,0.0427,0.5366,-0.824,104.0375,-9.3887,-10.29,-0.061,-0.0377,0.5979
1752689945.2329898,0.0711,0.6432,-0.758,146.4487,4.4275,20.5012,-0.0629,-0.0834,0.5778
1752689945.2866647,0.0712,0.9517,-0.6525,121.17,-22.6625,15.505,-0.0634,-0.1453,0.5604
1752689945.3410144,0.0407,0.8158,-0.7139,172.3312,-23.6775,27.2388,-0.0574,-0.2012,0.5421
1752689945.3888483,0.0513,0.8735,-0.5622,165.865,6.5625,37.275,-0.0617,-0.271,0.4946
1752689945.4494457,-0.0728,1.0232,-0.2993,220.57,-2.8438,42.2975,-0.0743,-0.3343,0.4441
1752689945.4917746,-0.0315,1.0011,-0.2224,130.0775,6.895,19.075,-0.0871,-0.3927,0.3625
1752689945.5405328,-0.0908,0.9117,0.0087,194.81,13.8337,12.8975,-0.0955,-0.4229,0.3072
1752689945.5937884,-0.0629,0.9606,0.0956,90.8863,-7.875,0.6125,-0.1071,-0.4441,0.2355
1752689945.6422517,-0.0683,1.0698,0.2641,189.9537,16.1087,-1.8288,-0.1039,-0.4613,0.1894
1752689945.6959453,-0.0351,0.9552,0.3913,71.5313,-5.0138,-0.3763,-0.1022,-0.4662,0.1116
1752689945.7445145,-0.1136,0.9148,0.4789,172.5675,7.9975,7.4988,-0.1,-0.4638,0.0881
1752689945.7989879,-0.0647,0.7491,0.577,154.2012,-5.5213,23.3712,-0.1198,-0.449,-0.0004
1752689945.847583,-0.1164,0.6229,0.7465,162.68,4.235,7.63,-0.1211,-0.4165,-0.0615
1752689945.9009993,-0.1183,0.4953,0.7679,131.3462,-5.3987,6.2475,-0.1338,-0.372,-0.1324
1752689945.9492884,-0.1361,0.4921,0.9423,177.695,5.5825,3.7713,-0.1357,-0.3318,-0.1821
1752689946.0030448,-0.1141,0.2722,0.8151,88.27,-8.2425,6.0813,-0.1431,-0.278,-0.2327
1752689946.0513458,-0.1193,0.1576,1.0973,207.9438,26.0225,21.455,-0.1567,-0.225,-0.2724
1752689946.105066,-0.0743,-0.0204,0.8871,73.3338,-8.225,-2.4413,-0.1495,-0.1666,-0.2992
1752689946.1614547,-0.0547,-0.1265,1.2216,217.6125,25.4625,13.65,-0.1525,-0.1019,-0.3205
1752689946.2081013,-0.0472,-0.2569,0.7741,116.9438,16.1175,-0.5338,-0.1393,-0.0272,-0.3452
1752689946.2563713,-0.0184,-0.4536,0.9756,176.2863,27.5625,3.6925,-0.1306,0.0343,-0.3542
1752689946.3101234,-0.0133,-0.5355,0.6345,149.8,27.4312,-2.1088,-0.1183,0.1175,-0.3591
1752689946.358409,0.0583,-0.7,0.7219,188.4837,26.7838,-2.8087,-0.1009,0.188,-0.3471
1752689946.412194,0.06,-0.905,0.5683,121.625,24.2375,-7.735,-0.0853,0.2594,-0.3287
1752689946.4763575,-0.0198,-0.6653,0.5367,86.3888,-2.9663,-0.5163,-0.0853,0.3066,-0.3063
1752689946.5142763,0.0948,-1.04,0.4112,116.8825,10.2287,-4.4975,-0.0797,0.3371,-0.2876
1752689946.5625024,-0.0544,-0.7443,0.4042,76.4138,11.6462,-4.9612,-0.0801,0.371,-0.2614
1752689946.6172912,0.0484,-0.9866,0.2292,123.1913,-2.73,6.335,-0.0826,0.4186,-0.232
1752689946.6655412,0.0268,-0.9575,0.2286,116.48,-15.4612,-7.7962,-0.079,0.4463,-0.1907
1752689946.719401,0.0564,-1.0146,0.1474,142.975,-29.0062,-0.28,-0.0868,0.4796,-0.1452
1752689946.767669,0.0203,-1.03,-0.1297,153.6412,-27.0637,-2.73,-0.0946,0.5102,-0.0851
1752689946.821436,0.0912,-1.009,-0.2042,168.5775,-35.1925,2.5025,-0.104,0.5417,-0.0122
1752689946.8701315,0.0791,-0.9353,-0.3242,148.3475,-19.5912,33.2325,-0.1009,0.5585,0.0409
1752689946.9234965,-0.0024,-0.7681,-0.5661,150.1938,14.28,73.6313,-0.0976,0.5627,0.1082
1752689946.9818478,0.0495,-0.9467,-0.5366,111.9213,40.0925,31.29,-0.0717,0.5671,0.1666
1752689947.0265348,-0.0806,-0.6821,-0.6215,108.0538,0.0875,38.0187,-0.0665,0.561,0.2096
1752689947.0752733,0.0864,-0.6903,-0.7047,42.1225,119.6388,21.9188,-0.0587,0.5513,0.2477
1752689947.1285841,-0.0511,-0.7074,-0.7931,52.9813,58.38,-6.1075,-0.0721,0.5471,0.2503
1752689947.1773376,-0.0418,-0.6037,-0.8183,96.1975,-6.6062,-61.4863,-0.0809,0.5351,0.2747
1752689947.2307034,-0.1028,-0.4243,-0.7449,112.6125,12.2937,-6.5538,-0.0945,0.504,0.3181
1752689947.2792351,0.0265,-0.4211,-0.9927,93.485,10.6925,-23.8262,-0.0953,0.471,0.3618
